id	vertical	source_type	signal	url	repo_implication
1	UAE-regulation	official-regulator	Dubai has licensed VASP/exchange activity, not just hype	https://www.vara.ae/en/licenses-and-register/public-register/	Use Dubai crypto/exchange as local entry path
2	UAE-regulation	official-regulator	VARA rulebooks define licensed virtual asset activities	https://rulebooks.vara.ae/	Use exchange/risk/compliance context in portfolio demos
3	UAE-crypto	official-careers	Binance maintains global engineering listings relevant to UAE/MENA	https://jobs.lever.co/binance	Track Go/C++/platform/trading roles periodically
4	UAE-crypto	official-job	Binance platform roles mention observability and high-scale service operation	https://jobs.lever.co/binance/626efa02-4a6c-4ec6-8d3d-e8d7a1a91e2c	Prioritize observability around benchmarks and queue latency
5	UAE-crypto	official-job	1inch Dubai Golang backend listing asks for Go sync, context, memory model, profiling	https://jobs.lever.co/1inch/758d4fb4-1e91-4199-a2bb-b706fce28fc9	Prioritize memory, SPSC, profiling, context cancellation
6	UAE-AI	official-company	Core42 positions itself as sovereign AI infrastructure in UAE	https://www.core42.ai/	AI/cloud control-plane is a real UAE path
7	UAE-AI	official-careers	Core42 careers surface AI cloud/HPC/platform roles	https://careers.g42.ai/core42/global/en/	Keep AI control-plane track but distinguish it from deep CUDA/NCCL work
8	UAE-AI	official-careers	G42 careers aggregate UAE AI ecosystem jobs	https://careers.g42.ai/	Track Abu Dhabi AI infrastructure openings
9	UAE-scale	official-company	Careem emphasizes regional scale engineering	https://www.careem.com/en-AE/engineering-at-careem/	Useful as fallback only if role is platform/performance, not CRUD
10	UAE-fintech	official-company	Wio is a UAE fintech/digital bank employer	https://wio.io/careers/	Only target infra/platform/payment core roles
11	UAE-crypto	official-careers	Bybit careers indicate crypto exchange hiring footprint	https://www.bybit.com/en/careers/	Track Go/Rust/C++ exchange backend roles
12	UAE-crypto	official-careers	OKX careers indicate exchange/backend/platform hiring	https://www.okx.com/careers	Track backend/performance/trading roles
13	UAE-crypto	official-careers	Crypto.com careers indicate exchange and platform hiring	https://crypto.com/careers	Track exchange services and market-data backend roles
14	UAE-crypto	official-company	Deribit is licensed by VARA for derivatives exchange activity	https://www.deribit.com/	Crypto derivatives raises low-latency/trading relevance
15	UAE-crypto	official-company	BitOasis is a local-regional crypto venue	https://bitoasis.net/	Lower performance signal, but local crypto context
16	HFT	official-company	Optiver states tech powers millions of trades and core low-latency systems	https://optiver.com/working-at-optiver/tech-at-optiver/	Use HFT bar as moat target
17	HFT	official-engineering	Optiver low-latency C++ systems content	https://optiver.com/working-at-optiver/career-hub/how-we-design-low-latency-cpp-systems/	Add C++/Rust companion if targeting pure HFT
18	HFT	official-engineering	Optiver speed, scale, risk engineering content	https://optiver.com/working-at-optiver/career-hub/how-our-engineers-tackle-speed-scale-and-risk/	Matching/risk gate lab maps directly
19	HFT-AI	official-engineering	Optiver ML in trading content links ML with latency and market data	https://optiver.com/working-at-optiver/career-hub/why-ml-in-trading-demands-a-different-kind-of-engineering/	AI track should be performance/runtime, not app AI
20	HFT	official-company	HRT is a top low-latency trading target	https://www.hudsonrivertrading.com/	Use as global high-salary benchmark
21	HFT	official-engineering	HRT engineering/interviewing blog emphasizes practical systems fundamentals	https://www.hudsonrivertrading.com/hrtbeat/engineering-and-interviewing-at-hrt/	Benchmark explanations matter as much as code
22	HFT	official-careers	Citadel Securities careers	https://www.citadelsecurities.com/careers/	Target C++/systems depth for high-comp roles
23	HFT	official-company	Citadel Securities technology context	https://www.citadelsecurities.com/	Use as high-comp performance-core benchmark
24	HFT	official-careers	Jane Street careers	https://www.janestreet.com/join-jane-street/	High bar, less direct Go/Rust but strong systems reasoning
25	HFT	official-company	XTX Markets careers	https://www.xtxmarkets.com/careers/	ML/trading/performance target outside UAE
26	HFT	official-careers	Jump Trading careers	https://www.jumptrading.com/careers/	Strong C++/systems/high-performance benchmark
27	HFT	official-company	IMC technology careers	https://www.imc.com/us/careers/technology/	Low-latency trading architecture signal
28	HFT	official-careers	DRW software engineering listings	https://drw.com/work-at-drw/listings/?category=Software%20Engineering	Trading infra roles often combine C++/Python/Rust/Go
29	HFT	official-careers	Headlands careers	https://www.headlandstech.com/careers/	Small high-performance trading firm benchmark
30	HFT	official-careers	Tower Research open positions	https://www.tower-research.com/open-positions/	Trading infra target with low-latency expectations
31	Crypto-market-making	official-company	Keyrock careers	https://keyrock.com/careers/	Crypto market making bridges Dubai crypto and HFT moat
32	Crypto-market-making	official-company	Wintermute careers	https://wintermute.com/careers/	Crypto market making target for Rust/C++/low-latency
33	Crypto-market-making	job-aggregator	Example Rust trading engineer in crypto market making	https://www.plexusrs.com/job/rust-trading-engineer-crypto-market-making-dubai-remote/	Rust code proof matters for this track
34	HFT-UAE	job-aggregator	Example senior C++ quant trading role in Dubai	https://www.margo.work/hft-trading-jobs/senior-c-developer-quant-trading-dubai-uae-fully-onsite	Confirms UAE HFT exists but is C++-heavy and narrow
